x,y,x_norm,y_norm
-16302217.616561823,10301525.249486428,0.0483870967741934,0.8846153846153846
-15719529.65694078,10301525.249486428,0.06451612903225794,0.8846153846153846
-15136841.697319739,10301525.249486428,0.08064516129032258,0.8846153846153846
-14554153.737698698,10301525.249486428,0.09677419354838701,0.8846153846153846
-13971465.778077656,10301525.249486428,0.11290322580645154,0.8846153846153846
-13388777.818456616,10301525.249486428,0.12903225806451607,0.8846153846153846
-12806089.858835574,10301525.249486428,0.14516129032258063,0.8846153846153846
-12223401.899214532,10301525.249486428,0.16129032258064516,0.8846153846153846
-11640713.93959349,10301525.249486428,0.1774193548387097,0.8846153846153846
-11058025.97997245,10301525.249486428,0.19354838709677422,0.8846153846153846
-10475338.020351408,10301525.249486428,0.20967741935483877,0.8846153846153846
-9892650.060730368,10301525.249486428,0.2258064516129032,0.8846153846153846
